destination_country,destination_partner,gsv,net_recv_fees,recv_payout_suc,recv_payout_rev,txn_count,success_count,reversed_count,gp,reversal_per_txn,adjusted_rev_payout,adjusted_txn_count,cost_per_txn,adjusted_gross_profit,profitability_per_txn
Togo,#####,268472.5182,1916.381986,1915.201786,-1.1802,3375,3374,1,5131.003813,0,1915.202,3373,0.568,5130.184,1.521
Tunisia,#####,1041431.374,1839,1821,-18,1839,1830,9,194.06,0.005,1821,1821,1,81.098,0.045
Turkey,#####,694882.4033,1188.0624,1121.1624,-66.9,1264,1228,36,2290.457305,0.028,1121.162,1192,0.941,2266.301,1.901
Turkey,#####,15575723.97,24171.95,22107.65,-2064.3,24505,23449,1056,33578.26642,0.043,22107.65,22393,0.987,36240.801,1.618
Uganda,#####,510487928.2,1310293.759,1309407.411,-886.347922,2608003,2607122,881,2357162.04,0,1309407.411,2606241,0.502,2355225.74,0.904
Uganda,#####,45743248.82,33271.39066,31995.15466,-1276.236,74358,72971,1387,251267.7184,0.019,31995.155,71584,0.447,244995.484,3.422
Uganda,#####,184079222.2,154081.0507,148186.2267,-5894.823936,285895,280392,5503,517820.8132,0.019,148186.227,274889,0.539,494560.334,1.799
Uganda,#####,366501587.8,1475391.294,1474365.402,-1025.892,2063772,2063057,715,1226182.356,0,1474365.402,2062342,0.715,1225062.489,0.594
Uganda,#####,2.134,0.014,0.014,0,8,8,0,0.012,0,0.014,8,0.002,0.012,0.002
Uganda,#####,5413221.843,19328.71242,19296.65182,-32.0606,30119,30094,25,20307.55676,0.001,19296.652,30069,0.642,20283.537,0.675
Uganda,#####,5747496.112,0,0,0,8116,8113,3,51400.7808,0,0,8110,0,51314.035,6.327
Uganda,#####,50696.685,39.571,39.571,0,124,124,0,393.215,0,39.571,124,0.319,393.215,3.171
Ukraine,#####,283077.614,8505.267805,8505.267805,0,9370,9370,0,8332.167353,0,8505.268,9370,0.908,8332.167,0.889
Ukraine,#####,55.92648,36.219046,36.219046,0,32,32,0,-34.204178,0,36.219,32,1.132,-34.204,-1.069
United Arab Emirates,#####,1276825.721,7701.733071,7647.263071,-54.47,1414,1409,5,2586.392093,0.004,7647.263,1404,5.447,2579.754,1.837
United Arab Emirates,#####,28.791,31.585,31.585,0,21,21,0,-18.16,0,31.585,21,1.504,-18.16,-0.865
United Arab Emirates,#####,15025.732,96,96,0,24,24,0,-36.322,0,96,24,4,-36.322,-1.513
United Arab Emirates,#####,5.627932,22.5,22.5,0,9,9,0,-36.08583,0,22.5,9,2.5,-36.086,-4.01
United Kingdom,#####,20058.04427,6.97375,5.58999,-1.38376,10,9,1,8.786324,0.1,5.59,8,0.699,6.67,0.834
United Kingdom,#####,2.546,0.609,0.609,0,3,3,0,-0.604,0,0.609,3,0.203,-0.604,-0.201
