destination_country,destination_partner,txn_count,success_count,failure_count,success_percentage,failure_percentage
Albania,#####,78,20,58,25.641,74.359
Argentina,#####,41,12,29,29.268,70.732
Argentina,#####,23,6,17,26.087,73.913
Argentina,#####,42,14,28,33.333,66.667
Argentina,#####,117,32,85,27.35,72.65
Australia,#####,15,1,14,6.667,93.333
Australia,#####,37,32,5,86.486,13.514
Australia,#####,5949,5888,61,98.975,1.025
Australia,#####,814,414,400,50.86,49.14
Austria,#####,50496,50159,337,99.333,0.667
Austria,#####,8490,7937,553,93.486,6.514
Azerbaijan,#####,5,3,2,60,40
Azerbaijan,#####,14,13,1,92.857,7.143
Bahrain,#####,1,1,0,100,0
Bahrain,#####,73,58,15,79.452,20.548
Bangladesh,#####,102923,102047,876,99.149,0.851
Bangladesh,#####,131818,131474,344,99.739,0.261
Bangladesh,#####,2897159,2873022,24137,99.167,0.833
Bangladesh,#####,328042,326610,1432,99.563,0.437
Bangladesh,#####,474382,472244,2138,99.549,0.451
Bangladesh,#####,4,1,3,25,75
Bangladesh,#####,251458,248426,3032,98.794,1.206
Bangladesh,#####,341506,338554,2952,99.136,0.864
Bangladesh,#####,81624,80943,681,99.166,0.834
Bangladesh,#####,9,9,0,100,0
Bangladesh,#####,68162,66815,1347,98.024,1.976
Bangladesh,#####,129312,128738,574,99.556,0.444
Bangladesh,#####,470710,467989,2721,99.422,0.578
Bangladesh,#####,597086,592736,4350,99.271,0.729
Bangladesh,#####,141,136,5,96.454,3.546
Bangladesh,#####,34331,32967,1364,96.027,3.973
Bangladesh,#####,147521,147181,340,99.77,0.23
Bangladesh,#####,1372,1357,15,98.907,1.093
Bangladesh,#####,5040,4759,281,94.425,5.575
Bangladesh,#####,12,12,0,100,0
Bangladesh,#####,1144,1130,14,98.776,1.224
Bangladesh,#####,67702,67684,18,99.973,0.027
Bangladesh,#####,7045,7044,1,99.986,0.014
Bangladesh,#####,1499,1464,35,97.665,2.335
Bangladesh,#####,789155,786353,2802,99.645,0.355
Bangladesh,#####,4139,4098,41,99.009,0.991
Belgium,#####,20,16,4,80,20
Belgium,#####,445257,442065,3192,99.283,0.717
Belgium,#####,98898,97152,1746,98.235,1.765
Benin,#####,27,18,9,66.667,33.333
Benin,#####,913727,902269,11458,98.746,1.254
Benin,#####,2804,2787,17,99.394,0.606
Benin,#####,755270,731905,23365,96.906,3.094
Benin,#####,13915,11954,1961,85.907,14.093
Bolivia (Plurinational State of),#####,35,14,21,40,60
Bolivia (Plurinational State of),#####,160,143,17,89.375,10.625
Bolivia (Plurinational State of),#####,20,11,9,55,45
Botswana,#####,213,148,65,69.484,30.516
Brazil,#####,260,172,88,66.154,33.846
Brazil,#####,562,8,554,1.423,98.577
Brazil,#####,25,2,23,8,92
Brazil,#####,54,17,37,31.481,68.519
Brazil,#####,299722,281631,18091,93.964,6.036
Brazil,#####,2186,1727,459,79.003,20.997
Brazil,#####,48,8,40,16.667,83.333
Brazil,#####,59,30,29,50.847,49.153
Brunei Darussalam,#####,73,36,37,49.315,50.685
Bulgaria,#####,2,1,1,50,50
Bulgaria,#####,5082,5048,34,99.331,0.669
Bulgaria,#####,2430,1891,539,77.819,22.181
Bulgaria,#####,7,5,2,71.429,28.571
Burkina Faso,#####,77,65,12,84.416,15.584
Burkina Faso,#####,15,11,4,73.333,26.667
Burkina Faso,#####,432,298,134,68.981,31.019
Burkina Faso,#####,5842,5223,619,89.404,10.596
Burkina Faso,#####,40387,39911,476,98.821,1.179
Burkina Faso,#####,3218,2463,755,76.538,23.462
Burundi,#####,4992,4918,74,98.518,1.482
Cambodia,#####,2516,2274,242,90.382,9.618
Cambodia,#####,113,46,67,40.708,59.292
Cameroon,#####,2011478,1992102,19376,99.037,0.963
Cameroon,#####,589991,585585,4406,99.253,0.747
Cameroon,#####,336890,334043,2847,99.155,0.845
Cameroon,#####,94037,91894,2143,97.721,2.279
Cameroon,#####,3578,2956,622,82.616,17.384
Canada,#####,4320,2562,1758,59.306,40.694
Canada,#####,1773,1285,488,72.476,27.524
Central African Republic,#####,50,30,20,60,40
Chad,#####,111,56,55,50.45,49.55
Chile,#####,15,4,11,26.667,73.333
Chile,#####,18,2,16,11.111,88.889
Chile,#####,59,16,43,27.119,72.881
Chile,#####,54,10,44,18.519,81.481
China,#####,59324,53721,5603,90.555,9.445
China,#####,746,279,467,37.399,62.601
China,#####,11,11,0,100,0
China,#####,1,1,0,100,0
Colombia,#####,60,39,21,65,35
Colombia,#####,16599,15151,1448,91.277,8.723
Colombia,#####,197,79,118,40.102,59.898
Colombia,#####,17,3,14,17.647,82.353
Colombia,#####,283,172,111,60.777,39.223
Colombia,#####,3776,2900,876,76.801,23.199
Colombia,#####,32582,25945,6637,79.63,20.37
Colombia,#####,9,2,7,22.222,77.778
Comoros,#####,48,40,8,83.333,16.667
Congo,#####,97,74,23,76.289,23.711
Congo,#####,11,2,9,18.182,81.818
Congo,#####,78,63,15,80.769,19.231
"Congo, Democratic Republic of the",#####,353334,336162,17172,95.14,4.86
"Congo, Democratic Republic of the",#####,53285,51483,1802,96.618,3.382
"Congo, Democratic Republic of the",#####,24,24,0,100,0
"Congo, Democratic Republic of the",#####,61968,60960,1008,98.373,1.627
"Congo, Democratic Republic of the",#####,1273,1109,164,87.117,12.883
Costa Rica,#####,25,21,4,84,16
Costa Rica,#####,22,12,10,54.545,45.455
C̫te d'Ivoire,#####,352277,335128,17149,95.132,4.868
C̫te d'Ivoire,#####,9683,8691,992,89.755,10.245
C̫te d'Ivoire,#####,215235,209228,6007,97.209,2.791
C̫te d'Ivoire,#####,52,43,9,82.692,17.308
C̫te d'Ivoire,#####,225559,212801,12758,94.344,5.656
C̫te d'Ivoire,#####,229627,216320,13307,94.205,5.795
C̫te d'Ivoire,#####,120647,119375,1272,98.946,1.054
C̫te d'Ivoire,#####,2,2,0,100,0
C̫te d'Ivoire,#####,113,40,73,35.398,64.602
C̫te d'Ivoire,#####,44718,40290,4428,90.098,9.902
Croatia,#####,82,80,2,97.561,2.439
Croatia,#####,516,444,72,86.047,13.953
Cyprus,#####,6,6,0,100,0
Cyprus,#####,575,571,4,99.304,0.696
Cyprus,#####,275,244,31,88.727,11.273
Czechia,#####,2,1,1,50,50
Czechia,#####,372,370,2,99.462,0.538
Czechia,#####,1009,977,32,96.829,3.171
Denmark,#####,67,65,2,97.015,2.985
Denmark,#####,284,219,65,77.113,22.887
Dominican Republic,#####,52,30,22,57.692,42.308
Ecuador,#####,70,27,43,38.571,61.429
Ecuador,#####,11,11,0,100,0
Ecuador,#####,117,27,90,23.077,76.923
Ecuador,#####,47,1,46,2.128,97.872
Ecuador,#####,37,15,22,40.541,59.459
Egypt,#####,8,3,5,37.5,62.5
Egypt,#####,328254,315100,13154,95.993,4.007
Egypt,#####,29,2,27,6.897,93.103
El Salvador,#####,15,13,2,86.667,13.333
El Salvador,#####,30,19,11,63.333,36.667
Equatorial Guinea,#####,28,18,10,64.286,35.714
Estonia,#####,2,2,0,100,0
Estonia,#####,9830,8892,938,90.458,9.542
Estonia,#####,757,726,31,95.905,4.095
Ethiopia,#####,91,64,27,70.33,29.67
Ethiopia,#####,13137,12771,366,97.214,2.786
Ethiopia,#####,14,14,0,100,0
Ethiopia,#####,116,72,44,62.069,37.931
Ethiopia,#####,15,7,8,46.667,53.333
Fiji,#####,2,2,0,100,0
Finland,#####,3,2,1,66.667,33.333
Finland,#####,19407,19249,158,99.186,0.814
Finland,#####,2403,2218,185,92.301,7.699
France,#####,21,13,8,61.905,38.095
France,#####,859239,855273,3966,99.538,0.462
France,#####,147513,142819,4694,96.818,3.182
France,#####,4,1,3,25,75
French Guiana,#####,48,41,7,85.417,14.583
Gabon,#####,2,2,0,100,0
Gabon,#####,230211,225591,4620,97.993,2.007
Gambia,#####,35,6,29,17.143,82.857
Gambia,#####,12969,12911,58,99.553,0.447
Gambia,#####,5787,5183,604,89.563,10.437
Georgia,#####,48,29,19,60.417,39.583
Georgia,#####,8,5,3,62.5,37.5
Georgia,#####,12,12,0,100,0
Germany,#####,22,16,6,72.727,27.273
Germany,#####,371187,368748,2439,99.343,0.657
Germany,#####,101503,89174,12329,87.854,12.146
Ghana,#####,26647,26625,22,99.917,0.083
Ghana,#####,265583,263875,1708,99.357,0.643
Ghana,#####,5201,5011,190,96.347,3.653
Ghana,#####,40,40,0,100,0
Ghana,#####,34,33,1,97.059,2.941
Ghana,#####,2113417,2072259,41158,98.053,1.947
Ghana,#####,5037897,4856620,181277,96.402,3.598
Ghana,#####,1755,1666,89,94.929,5.071
Ghana,#####,177539,175412,2127,98.802,1.198
Ghana,#####,47986,45803,2183,95.451,4.549
Ghana,#####,14629,9620,5009,65.76,34.24
Ghana,#####,4812,3842,970,79.842,20.158
Ghana,#####,8,8,0,100,0
Ghana,#####,2883775,2847881,35894,98.755,1.245
Greece,#####,4,4,0,100,0
Greece,#####,351,345,6,98.291,1.709
Greece,#####,1750,1609,141,91.943,8.057
Guadeloupe,#####,38,33,5,86.842,13.158
Guatemala,#####,10,10,0,100,0
Guatemala,#####,57,21,36,36.842,63.158
Guinea,#####,12039,11380,659,94.526,5.474
Guinea,#####,1299,1140,159,87.76,12.24
Guinea,#####,9,2,7,22.222,77.778
Guinea-Bissau,#####,15534,14168,1366,91.206,8.794
Haiti,#####,420912,395323,25589,93.921,6.079
Honduras,#####,4,4,0,100,0
Honduras,#####,64,24,40,37.5,62.5
Hong Kong,#####,203,52,151,25.616,74.384
Hungary,#####,210,201,9,95.714,4.286
Hungary,#####,778,761,17,97.815,2.185
Iceland,#####,8,8,0,100,0
Iceland,#####,43,43,0,100,0
