destination_country,destination_partner,txn_count,less_15m,less_15m_percentage,greater_15m,greater_15m_percentage
Nepal,#####,7411,5304,71.569,2107,28.431
Nepal,#####,24557,20367,82.938,4190,17.062
Nepal,#####,2568,2188,85.202,380,14.798
Nepal,#####,25778,24573,95.325,1205,4.675
Nepal,#####,6956,6571,94.465,385,5.535
Nepal,#####,95,76,80,19,20
Netherlands,#####,23,6,26.087,17,73.913
Netherlands,#####,144944,125425,86.533,19519,13.467
Netherlands,#####,29273,28588,97.66,685,2.34
Netherlands,#####,7,6,85.714,1,14.286
New Zealand,#####,25,0,0,25,100
Nicaragua,#####,20,8,40,12,60
Niger,#####,5,3,60,2,40
Nigeria,#####,40,39,97.5,1,2.5
Nigeria,#####,25294,20888,82.581,4406,17.419
Nigeria,#####,338,270,79.882,68,20.118
Nigeria,#####,2750,1883,68.473,867,31.527
Nigeria,#####,96684,81198,83.983,15485,16.016
Nigeria,#####,8600,8139,94.64,461,5.36
Nigeria,#####,53910,50699,94.044,3211,5.956
Nigeria,#####,46790,32251,68.927,14536,31.066
Nigeria,#####,5,5,100,0,0
Nigeria,#####,8,7,87.5,1,12.5
Nigeria,#####,26,22,84.615,4,15.385
Norway,#####,61,53,86.885,8,13.115
Norway,#####,194,11,5.67,183,94.33
Pakistan,#####,132609,115623,87.191,16986,12.809
Pakistan,#####,68206,63204,92.666,5002,7.334
Pakistan,#####,18634,18027,96.743,607,3.257
Pakistan,#####,9553,241,2.523,9312,97.477
Pakistan,#####,219304,187710,85.594,31594,14.406
Pakistan,#####,25870,20713,80.066,5157,19.934
Panama,#####,3,0,0,3,100
Paraguay,#####,10,0,0,10,100
Paraguay,#####,3,0,0,3,100
Peru,#####,4,0,0,4,100
Peru,#####,24,0,0,24,100
Peru,#####,36,0,0,36,100
Peru,#####,15,0,0,15,100
Peru,#####,20,17,85,3,15
Philippines,#####,3864397,3440575,89.033,423820,10.967
Philippines,#####,79304,59623,75.183,19681,24.817
Philippines,#####,7540,6999,92.825,541,7.175
Philippines,#####,5010,10,0.2,5000,99.8
Philippines,#####,13964582,13963831,99.995,740,0.005
Philippines,#####,30546,21652,70.883,8894,29.117
Philippines,#####,275035,275007,99.99,28,0.01
Philippines,#####,7,7,100,0,0
Philippines,#####,2114159,1841938,87.124,272140,12.872
Poland,#####,2,0,0,2,100
Poland,#####,1,1,100,0,0
Poland,#####,1468,1266,86.24,202,13.76
Poland,#####,1306,350,26.799,956,73.201
Portugal,#####,109,21,19.266,88,80.734
Portugal,#####,422275,365934,86.658,56341,13.342
Portugal,#####,94713,92417,97.576,2296,2.424
Qatar,#####,9,0,0,9,100
Romania,#####,5,0,0,5,100
Romania,#####,888,821,92.455,67,7.545
Romania,#####,6395,3695,57.78,2699,42.205
Russian Federation,#####,15,12,80,3,20
Rwanda,#####,931,924,99.248,7,0.752
Rwanda,#####,147625,147580,99.97,43,0.029
Samoa,#####,3,3,100,0,0
Senegal,#####,27475,26057,94.839,1418,5.161
Senegal,#####,409172,404840,98.941,4300,1.051
Senegal,#####,9077,8794,96.882,283,3.118
Senegal,#####,90,37,41.111,53,58.889
Senegal,#####,70,41,58.571,29,41.429
Senegal,#####,336733,324321,96.314,914,0.271
Senegal,#####,59314,49957,84.225,9357,15.775
Senegal,#####,1284252,1284124,99.99,128,0.01
Senegal,#####,1,1,100,0,0
Senegal,#####,1518279,1510354,99.478,7921,0.522
Senegal,#####,183,174,95.082,9,4.918
Senegal,#####,6153,4630,75.248,1523,24.752
Sierra Leone,#####,6510,6086,93.487,424,6.513
Sierra Leone,#####,21264,21083,99.149,181,0.851
Singapore,#####,12,0,0,12,100
Singapore,#####,285,125,43.86,160,56.14
Singapore,#####,4,4,100,0,0
Singapore,#####,7,2,28.571,5,71.429
Singapore,#####,7,6,85.714,1,14.286
Slovakia,#####,4,3,75,1,25
Slovakia,#####,151,135,89.404,16,10.596
Slovakia,#####,583,504,86.449,79,13.551
Slovenia,#####,44,29,65.909,15,34.091
Slovenia,#####,167,165,98.802,2,1.198
South Africa,#####,112,55,49.107,57,50.893
South Africa,#####,6,6,100,0,0
South Africa,#####,79685,8,0.01,79677,99.99
South Africa,#####,60,9,15,51,85
South Sudan,#####,543,539,99.263,4,0.737
South Sudan,#####,5272,5065,96.074,207,3.926
South Sudan,#####,4,4,100,0,0
Spain,#####,33,12,36.364,21,63.636
Spain,#####,840911,739841,87.981,101065,12.019
Spain,#####,186793,183952,98.479,2837,1.519
Spain,#####,2,2,100,0,0
Sri Lanka,#####,7531,7493,99.495,38,0.505
Sri Lanka,#####,21117,20822,98.603,295,1.397
Sweden,#####,1,0,0,1,100
Sweden,#####,275,247,89.818,28,10.182
Sweden,#####,643,150,23.328,493,76.672
Switzerland,#####,322,304,94.41,18,5.59
Switzerland,#####,883,184,20.838,699,79.162
Tajikistan,#####,3,3,100,0,0
Tanzania,#####,370977,369961,99.726,1013,0.273
Tanzania,#####,149459,141411,94.615,8048,5.385
Tanzania,#####,27213,27210,99.989,3,0.011
Tanzania,#####,2,2,100,0,0
Tanzania,#####,38584,38578,99.984,3,0.008
Tanzania,#####,1724835,1672939,96.991,51811,3.004
Tanzania,#####,2023360,2000177,98.854,23180,1.146
Thailand,#####,707388,682063,96.42,25325,3.58
Thailand,#####,109885,102529,93.306,7350,6.689
Thailand,#####,273560,256737,93.85,16823,6.15
Thailand,#####,15777,6,0.038,15771,99.962
Togo,#####,151,41,27.152,110,72.848
Togo,#####,533,471,88.368,62,11.632
Togo,#####,3363,1006,29.914,2357,70.086
Tunisia,#####,1830,0,0,1830,100
Turkey,#####,1123,647,57.614,476,42.386
Turkey,#####,23498,22651,96.395,847,3.605
Uganda,#####,2784052,2782291,99.937,1713,0.062
Uganda,#####,72971,67604,92.645,5367,7.355
Uganda,#####,207023,206135,99.571,888,0.429
Uganda,#####,2182907,2181894,99.954,999,0.046
Uganda,#####,8,8,100,0,0
Uganda,#####,565461,533952,94.428,31505,5.572
Uganda,#####,8113,7848,96.734,265,3.266
Uganda,#####,124,124,100,0,0
Ukraine,#####,9370,883,9.424,8487,90.576
Ukraine,#####,32,31,96.875,1,3.125
United Arab Emirates,#####,1409,16,1.136,1393,98.864
United Arab Emirates,#####,21,21,100,0,0
United Arab Emirates,#####,24,0,0,24,100
United Arab Emirates,#####,9,2,22.222,7,77.778
United Kingdom,#####,9,7,77.778,2,22.222
United Kingdom,#####,3,0,0,3,100
United Kingdom,#####,1101510,994441,90.28,107068,9.72
United Kingdom,#####,75366,72864,96.68,2501,3.318
United Kingdom,#####,20,20,100,0,0
United States of America,#####,95,0,0,95,100
United States of America,#####,371,0,0,371,100
United States of America,#####,4077,0,0,4077,100
United States of America,#####,32,0,0,32,100
United States of America,#####,1214,0,0,1214,100
Uruguay,#####,30,0,0,30,100
Uruguay,#####,15,0,0,15,100
Uzbekistan,#####,1,1,100,0,0
Vanuatu,#####,2,2,100,0,0
Viet Nam,#####,1824452,1812620,99.351,11743,0.644
Viet Nam,#####,16,14,87.5,2,12.5
Viet Nam,#####,3,3,100,0,0
Viet Nam,#####,4135,4111,99.42,24,0.58
Viet Nam,#####,2365096,2231611,94.356,133483,5.644
Viet Nam,#####,29,19,65.517,10,34.483
Viet Nam,#####,19201,19066,99.297,135,0.703
Zambia,#####,2488,2479,99.638,9,0.362
Zambia,#####,10860,10829,99.715,31,0.285
Zambia,#####,9,9,100,0,0
Zambia,#####,10453,10310,98.632,143,1.368
Zambia,#####,84,81,96.429,3,3.571
Zambia,#####,72,69,95.833,3,4.167
Zimbabwe,#####,77851,77437,99.468,414,0.532
