destination_country,destination_partner,profitability_per_txn,cost_per_txn,reversal_per_txn,success_percentage,failure_percentage,less_15m,greater_15m,Total_Rank,Average_Rank
Cameroon,#####,1.646106,2.60288,0,97.721,2.279,101064,27698,13,4.33
Canada,#####,35.75187,1.162,0.001,72.476,27.524,0,1285,4,1.33
Canada,#####,30.748872,5.338228,0.019,59.306,40.694,2,2560,5,1.67
Central African Republic,#####,-0.381612,1.8592,0,60,40,3,27,3,1
Chad,#####,-0.29106,1.8592,0,50.45,49.55,56,0,3,1
Chile,#####,-1.982442,1.743,0,18.519,81.481,3,7,5,1.67
Chile,#####,-2.422266,1.743,0,27.119,72.881,0,16,7,2.33
Chile,#####,-3.227532,2.324,0,26.667,73.333,0,4,8,2.67
Chile,#####,-4.459686,4.648,0,11.111,88.889,0,2,10,3.33
China,#####,30.441642,9.296,0,90.555,9.445,47704,6019,5,1.67
China,#####,-6.413022,4.648,0,100,0,10,1,7,2.33
China,#####,9.57264,6.0424,0.004,37.399,62.601,88,191,8,2.67
China,#####,-9.702,6.972,0,100,0,0,1,10,3.33
Colombia,#####,2.609838,2.324,0,79.63,20.37,18584,7361,4,1.33
Colombia,#####,2.228226,2.324,0,91.277,8.723,15074,77,5,1.67
Colombia,#####,-1.429428,3.97404,0.003,76.801,23.199,1479,1418,10,3.33
Colombia,#####,-0.882882,1.2782,0,65,35,27,12,11,3.67
Colombia,#####,-4.81866,3.495296,0,22.222,77.778,2,0,18,6
Colombia,#####,-1.636404,2.18456,0,40.102,59.898,0,79,18,6
Colombia,#####,-7.092162,1.743,0.023,60.777,39.223,0,172,20,6.67
Colombia,#####,-7.2765,5.229,0,17.647,82.353,0,3,22,7.33
Comoros,#####,-1.089858,1.5106,0,83.333,16.667,32,8,3,1
Congo,#####,4.94802,1.745324,0.013,76.289,23.711,73,1,4,1.33
Congo,#####,0.847308,1.733704,0,80.769,19.231,54,9,5,1.67
Congo,#####,-2.464308,1.8592,0,18.182,81.818,2,0,9,3
"Congo, Democratic Republic of the",#####,0.4851,2.324,0,98.373,1.627,60636,324,8,2.67
"Congo, Democratic Republic of the",#####,1.400322,1.636096,0,95.14,4.86,362868,1415,8,2.67
"Congo, Democratic Republic of the",#####,2.108568,1.162,0,96.618,3.382,51316,167,8,2.67
"Congo, Democratic Republic of the",#####,2.448138,1.5106,0,87.117,12.883,2982,17,10,3.33
"Congo, Democratic Republic of the",#####,-3.234,2.324,0,100,0,23,1,11,3.67
Costa Rica,#####,-6.448596,4.648,0,84,16,13,8,4,1.33
Costa Rica,#####,-2.147376,2.324,0,54.545,45.455,1,11,5,1.67
Croatia,#####,6.367746,0.341628,0,97.561,2.439,66,15,4,1.33
Croatia,#####,4.990062,0.253316,0.004,86.047,13.953,322,122,5,1.67
Cyprus,#####,1.37445,0.246344,0.003,99.304,0.696,925,177,6,2
Cyprus,#####,7.641942,0.411348,0,100,0,4,2,6,2
Cyprus,#####,11.331936,0.253316,0.043,88.727,11.273,95,149,6,2
Czechia,#####,5.355504,0.334656,0.003,99.462,0.538,323,53,4,1.33
Czechia,#####,6.584424,0.253316,0.004,96.829,3.171,228,749,5,1.67
Czechia,#####,3.447444,1.589616,0,50,50,1,0,9,3
C̫te d'Ivoire,#####,5.345802,1.501304,0.001,97.209,2.791,350313,59623,11,3.67
C̫te d'Ivoire,#####,11.516274,1.036504,0.002,94.344,5.656,190827,10029,11,3.67
C̫te d'Ivoire,#####,8.418102,2.093924,0,98.946,1.054,118852,523,13,4.33
C̫te d'Ivoire,#####,0.850542,1.422288,0,95.132,4.868,316362,46506,14,4.67
C̫te d'Ivoire,#####,10.141824,1.310736,0,94.205,5.795,165470,50850,14,4.67
C̫te d'Ivoire,#####,24.743334,1.3944,0,90.098,9.902,33581,6709,14,4.67
C̫te d'Ivoire,#####,9.110178,4.306372,0.001,89.755,10.245,8604,87,20,6.67
C̫te d'Ivoire,#####,17.240454,1.143408,0,35.398,64.602,40,0,20,6.67
C̫te d'Ivoire,#####,-1.09956,0.79016,0,100,0,2,0,21,7
C̫te d'Ivoire,#####,-0.98637,1.845256,0,82.692,17.308,20,23,27,9
Denmark,#####,11.532444,0.376488,0,97.015,2.985,38,29,4,1.33
Denmark,#####,0.656502,0.253316,0.018,77.113,22.887,40,179,5,1.67
Dominican Republic,#####,-2.260566,1.6268,0,57.692,42.308,0,30,3,1
Ecuador,#####,-3.0723,2.2078,0,100,0,11,0,6,2
Ecuador,#####,-0.886116,1.703492,0,40.541,59.459,0,15,9,3
Ecuador,#####,-3.078768,2.212448,0,38.571,61.429,7,20,10,3.33
Ecuador,#####,0,4.648,0,2.128,97.872,0,1,10,3.33
Ecuador,#####,1.820742,3.472056,0,23.077,76.923,0,27,10,3.33
Egypt,#####,3.926076,2.189208,0.019,95.993,4.007,4037,311063,3,1
Egypt,#####,-4.86717,3.495296,0,37.5,62.5,3,0,6,2
Egypt,#####,-9.79902,6.972,0,6.897,93.103,0,2,9,3
El Salvador,#####,-2.7489,1.9754,0,63.333,36.667,6,13,4,1.33
El Salvador,#####,-7.7616,5.5776,0,86.667,13.333,0,13,5,1.67
Equatorial Guinea,#####,-2.49018,1.8592,0,64.286,35.714,8,10,3,1
Estonia,#####,2.66805,0.253316,0,95.905,4.095,705,21,5,1.67
Estonia,#####,0.798798,0.237048,0.01,90.458,9.542,9115,1318,6,2
Estonia,#####,-0.876414,1.791804,0,100,0,0,2,7,2.33
Ethiopia,#####,13.880328,0,0.042,97.214,2.786,252,12519,4,1.33
Ethiopia,#####,4.184796,0,0,70.33,29.67,53,11,8,2.67
Ethiopia,#####,-1.998612,1.3944,0,100,0,13,1,10,3.33
Ethiopia,#####,-1.562022,0.6972,0,62.069,37.931,57,15,10,3.33
Ethiopia,#####,-0.003234,0,0,46.667,53.333,7,0,13,4.33
Fiji,#####,-6.41949,4.648,0,100,0,2,0,3,1
Finland,#####,0.721182,0.274232,0.001,99.186,0.814,15028,6787,5,1.67
Finland,#####,2.189418,0.250992,0,92.301,7.699,2169,49,5,1.67
Finland,#####,1.338876,0.176624,0.333,66.667,33.333,1,1,8,2.67
France,#####,0.805266,0.260288,0.001,99.538,0.462,758665,170205,5,1.67
France,#####,1.135134,0.250992,0.001,96.818,3.182,140085,2734,5,1.67
France,#####,0.989604,0.597268,0.133,61.905,38.095,4,9,8,2.67
France,#####,-2.800644,3.562692,0,25,75,0,1,12,4
French Guiana,#####,1.620234,0.253316,0,85.417,14.583,41,0,3,1
Gabon,#####,6.616764,1.8592,0,97.993,2.007,224020,1592,4,1.33
Gabon,#####,-1.7787,1.162,0,100,0,1,1,5,1.67
Gambia,#####,14.03556,0.9296,0,99.553,0.447,6922,5989,3,1
Gambia,#####,4.637556,0,0,89.563,10.437,5178,5,6,2
Gambia,#####,-1.238622,0.9296,0,17.143,82.857,0,6,9,3
Georgia,#####,-4.808958,3.492972,0,62.5,37.5,4,1,4,1.33
Georgia,#####,-8.806182,6.337548,0,100,0,2,10,6,2
Georgia,#####,-5.9829,5.81,0,60.417,39.583,1,28,8,2.67
Germany,#####,0.837606,0.253316,0.002,99.343,0.657,346527,79433,5,1.67
Germany,#####,1.448832,0.250992,0.001,87.854,12.146,86303,2871,6,2
Germany,#####,17.136966,0.936572,0,72.727,27.273,4,12,7,2.33
Ghana,#####,24.193554,0.948192,0,98.755,1.245,2551314,296069,9,3
Ghana,#####,11.729718,0.9296,0,99.357,0.643,245000,18875,12,4
Ghana,#####,12.07899,0.99932,0,98.802,1.198,156475,15971,13,4.33
Ghana,#####,10.837134,1.8592,0.001,96.402,3.598,9729552,85437,15,5
Ghana,#####,8.156148,1.584968,0.001,98.053,1.947,2548279,4606,16,5.33
Ghana,#####,8.139978,0.938896,0,99.917,0.083,26443,182,17,5.67
Ghana,#####,-0.992838,0.7553,0,100,0,28,12,24,8
Ghana,#####,15.416478,1.743,0,79.842,20.158,3839,3,25,8.33
Ghana,#####,3.017322,0.945868,0,95.451,4.549,50331,600,26,8.67
Ghana,#####,5.30376,0.713468,0,96.347,3.653,4869,142,27,9
Ghana,#####,-1.494108,1.0458,0,100,0,7,1,29,9.67
Ghana,#####,-1.24509,0.852908,0,97.059,2.941,27,6,33,11
Ghana,#####,1.258026,0.920304,0,94.929,5.071,1561,105,33,11
Ghana,#####,-11.93346,1.743,0.004,65.76,34.24,9567,53,36,12
Greece,#####,5.048274,0.253316,0,91.943,8.057,1591,18,5,1.67
Greece,#####,3.21783,0.32536,0.009,98.291,1.709,237,147,6,2
Greece,#####,1.772232,1.280524,0,100,0,2,2,7,2.33
Guadeloupe,#####,1.562022,0.253316,0,86.842,13.158,33,0,3,1
Guatemala,#####,-3.198426,2.324,0,100,0,8,2,3,1
Guatemala,#####,-3.224298,2.324,0,36.842,63.158,8,13,6,2
Guinea,#####,4.547004,1.677928,0.001,94.526,5.474,11922,32,4,1.33
Guinea,#####,5.552778,1.8592,0,87.76,12.24,1133,7,5,1.67
Guinea,#####,-2.2638,1.6268,0,22.222,77.778,2,0,9,3
Guinea-Bissau,#####,0.656502,1.8592,0,91.206,8.794,14238,13,3,1
Haiti,#####,1.416492,2.949156,0,93.921,6.079,362303,33020,3,1
Honduras,#####,-6.45183,4.648,0,100,0,2,2,4,1.33
Honduras,#####,-4.032798,2.905,0,37.5,62.5,2,22,5,1.67
Hong Kong,#####,-7.515816,9.614388,0.019,25.616,74.384,0,52,3,1
Hungary,#####,9.963954,0.253316,0.007,97.815,2.185,297,464,3,1
Hungary,#####,5.517204,0.3486,0.01,95.714,4.286,196,15,6,2
Iceland,#####,4.437048,0.334656,0,100,0,8,0,4,1.33
Iceland,#####,10.507266,0.253316,0,100,0,7,36,5,1.67
India,#####,1.322706,0.24402,0.002,98.2,1.8,7769487,943927,8,2.67
India,#####,1.56849,0.183596,0.003,99.592,0.408,190597,103979,9,3
India,#####,1.659042,0.26726,0,97.219,2.781,774361,32173,10,3.33
India,#####,1.05105,0.295148,0.001,97.859,2.141,4639423,326183,11,3.67
India,#####,0.045276,0.318388,0,99.942,0.058,47890,1976,12,4
India,#####,-4.863936,3.495296,0,100,0,1,0,13,4.33
Indonesia,#####,4.938318,0.83664,0.001,98.216,1.784,242285,10349,6,2
Indonesia,#####,5.769456,1.18524,0.007,98.242,1.758,5907,15,6,2
Indonesia,#####,4.55994,0.7553,0,97.614,2.386,345149,55753,7,2.33
Indonesia,#####,0.103488,3.367476,0,96.73,3.27,13773,1341,11,3.67
Indonesia,#####,-0.785862,0.599592,0,86.842,13.158,27,6,15,5
Indonesia,#####,-1.138368,0.799456,0,57.5,42.5,15,8,18,6
Indonesia,#####,-4.851,3.492972,0,44.444,55.556,4,0,21,7
Iraq,#####,-10.91475,8.134,0,7.692,92.308,0,1,3,1
Ireland,#####,0.507738,0.269584,0.017,99.516,0.484,10672,2120,5,1.67
Ireland,#####,7.22799,0.253316,0.004,97.236,2.764,1095,1508,6,2
Ireland,#####,10.500798,0.687904,0,90,10,1,8,7,2.33
Israel,#####,88.446666,2.542456,0,64.407,35.593,0,38,4,1.33
Israel,#####,85.584576,3.144372,0,36.364,63.636,0,8,5,1.67
Italy,#####,4.34973,1.798776,0,100,0,0,1,6,2
Italy,#####,0.782628,0.253316,0.006,98.535,1.465,251370,62844,7,2.33
Italy,#####,1.03488,0.250992,0,94.609,5.391,84894,2583,8,2.67
Italy,#####,-4.825128,3.495296,0,100,0,1,0,9,3
Jamaica,#####,-0.093786,1.6268,0,63.235,36.765,2,41,3,1
Japan,#####,-29.080128,20.916,0,100,0,0,4,4,1.33
Japan,#####,-12.890724,9.296,0,46.667,53.333,0,28,5,1.67
Jordan,#####,-5.054742,4.648,0,8.861,91.139,2,5,3,1
Kazakhstan,#####,-4.863936,3.495296,0,100,0,1,0,3,1
Kenya,#####,8.123808,1.001644,0,99.25,0.75,5503211,3351,7,2.33
Kenya,#####,28.375116,0.683256,0.001,96.252,3.748,321725,9698,7,2.33
Kenya,#####,15.258012,0.890092,0.009,98.136,1.864,238949,190,8,2.67
Kenya,#####,0.556248,0,0,99.958,0.042,23756,19,11,3.67
Kenya,#####,15.212736,0.68558,0.001,88.94,11.06,55676,1574,12,4
Kenya,#####,0.514206,1.227072,0,75.758,24.242,23,2,18,6
Kenya,#####,0.009702,1.108548,0,50,50,15,0,22,7.33
Kenya,#####,-0.326634,0.22078,0,58.333,41.667,7,0,23,7.67
Kenya,#####,-4.854234,3.495296,0,14.286,85.714,1,0,27,9
"Korea, Republic of",#####,10.584882,1.162,0,56.17,43.83,62,334,4,1.33
"Korea, Republic of",#####,0.077616,0,0,100,0,1,15,5,1.67
Kuwait,#####,-3.075534,3.5441,0,83.333,16.667,5,0,3,1
Lao People's Democratic Republic,#####,-21.00483,15.106,0,57.143,42.857,0,4,3,1
Latvia,#####,0.766458,0.25564,0.001,99.836,0.164,41935,5508,4,1.33
Latvia,#####,1.920996,0.253316,0,98.848,1.152,3348,255,5,1.67
Lebanon,#####,0.540078,0,0,100,0,14,4,4,1.33
Lebanon,#####,-1.749594,1.257284,0,59.459,40.541,18,4,5,1.67
Lebanon,#####,-2.7489,2.324,0,50,50,13,7,9,3
Lesotho,#####,6.189876,2.18456,0.002,91.84,8.16,1654,23,3,1
Liberia,#####,0.983136,1.8592,0,98.207,1.793,4009845,2089,4,1.33
Liberia,#####,-1.397088,1.3944,0,100,0,27,4,5,1.67
Liechtenstein,#####,26.903646,0.20916,0,33.333,66.667,2,0,4,1.33
Liechtenstein,#####,7.409094,0.253316,0.091,100,0,2,8,5,1.67
Lithuania,#####,0.714714,0.276556,0.003,99.499,0.501,189957,24750,5,1.67
Lithuania,#####,2.412564,0.250992,0.004,99.115,0.885,55807,2083,6,2
Lithuania,#####,10.368204,1.654688,0,66.667,33.333,2,2,7,2.33
Luxembourg,#####,0.688842,0.297472,0.009,99.023,0.977,9262,1433,4,1.33
Luxembourg,#####,1.167474,0.253316,0.015,97.248,2.752,889,1726,5,1.67
Madagascar,#####,6.413022,1.489684,0,97.804,2.196,2834,17,3,1
Madagascar,#####,-3.537996,2.542456,0,61.538,38.462,15,1,7,2.33
