destination_country,destination_partner,profitability_per_txn,cost_per_txn,reversal_per_txn,success_percentage,failure_percentage,less_15m,greater_15m,Total_Rank,Average_Rank
Portugal,#####,1.539384,0.834316,0.009,92.373,7.627,21,88,7,2.33
Qatar,#####,-16.150596,11.524716,0,100,0,0,9,3,1
Romania,#####,11.943162,0.253316,0.024,96.383,3.617,3695,2699,4,1.33
Romania,#####,0.465696,0.815724,0,100,0,0,5,7,2.33
Romania,#####,3.829056,0.357896,0.069,95.643,4.357,821,67,7,2.33
Russian Federation,#####,0.391314,2.905,0,38.462,61.538,12,3,3,1
Rwanda,#####,11.684442,0.843612,0.011,98.678,1.322,147580,43,3,1
Rwanda,#####,0.051744,1.40602,0.004,93.1,6.9,924,7,6,2
Samoa,#####,-6.38715,4.648,0,100,0,3,0,3,1
Senegal,#####,3.44421,1.973076,0,97.052,2.948,1510354,7921,10,3.33
Senegal,#####,5.517204,4.736312,0,98.442,1.558,324321,914,10,3.33
Senegal,#####,12.625536,1.436232,0,95.443,4.557,49957,9357,11,3.67
Senegal,#####,9.304218,3.128104,0,95.972,4.028,8794,283,13,4.33
Senegal,#####,0.831138,1.8011,0,94.678,5.322,1284124,128,18,6
Senegal,#####,3.951948,1.31306,0,93.17,6.83,26057,1418,19,6.33
Senegal,#####,6.3063,1.973076,0.001,92.18,7.82,4630,1523,20,6.67
Senegal,#####,13.50195,1.438556,0.062,69.582,30.418,174,9,20,6.67
Senegal,#####,-3.030258,2.344916,0.001,90.837,9.163,404840,4300,24,8
Senegal,#####,1.35828,1.3944,0,94.737,5.263,37,53,24,8
Senegal,#####,1.11573,1.891736,0.028,54.688,45.313,41,29,30,10
Senegal,#####,-1.26126,3.523184,0,33.333,66.667,1,0,35,11.67
Sierra Leone,#####,9.349494,1.8592,0.001,99.072,0.928,6086,424,4,1.33
Sierra Leone,#####,-1.691382,1.8592,0.001,94.021,5.979,21083,181,5,1.67
Singapore,#####,24.830652,2.372804,0.003,77.869,22.131,125,160,4,1.33
Singapore,#####,-1.393854,1.0458,0,100,0,0,12,8,2.67
Singapore,#####,-3.078768,2.324,0,63.636,36.364,6,1,9,3
Singapore,#####,-4.01016,3.495296,0,66.667,33.333,4,0,11,3.67
Singapore,#####,-3.227532,2.324,0,58.333,41.667,2,5,13,4.33
Slovakia,#####,10.516968,0.253316,0.002,91.236,8.764,504,79,5,1.67
Slovakia,#####,10.329396,0.316064,0.007,97.163,2.837,135,16,6,2
Slovakia,#####,22.065582,1.357216,0,66.667,33.333,3,1,7,2.33
Slovenia,#####,10.620456,0.253316,0.006,82.673,17.327,165,2,4,1.33
Slovenia,#####,5.164698,0.31374,0,100,0,29,15,5,1.67
South Africa,#####,7.173012,1.3944,0,88.935,11.065,8,79677,5,1.67
South Africa,#####,-160.108872,2.74232,0.009,55.288,44.712,55,57,7,2.33
South Africa,#####,-39.105528,0,0,22.472,77.528,9,51,9,3
South Africa,#####,-3.175788,3.495296,0,54.545,45.455,6,0,9,3
South Sudan,#####,0.255486,2.324,0.001,97.793,2.207,5065,207,4,1.33
South Sudan,#####,0.1617,0.009296,0,100,0,4,0,6,2
South Sudan,#####,-36.890238,1.3944,0.141,61.986,38.014,539,4,8,2.67
Spain,#####,0.75999,0.264936,0.002,99.093,0.907,739841,101065,5,1.67
Spain,#####,1.19658,0.250992,0,98.555,1.445,183952,2837,6,2
Spain,#####,2.548392,1.120168,0,89.189,10.811,12,21,7,2.33
Spain,#####,-3.191958,3.495296,0,40,60,2,0,12,4
Sri Lanka,#####,4.553472,0.355572,0,94.956,5.044,7493,38,4,1.33
Sri Lanka,#####,-0.11319,0.597268,0,94.573,5.427,20822,295,5,1.67
Sweden,#####,4.129818,0.346276,0.004,98.479,1.521,247,28,5,1.67
Sweden,#####,5.216442,0.253316,0.005,96.983,3.017,150,493,6,2
Sweden,#####,1.377684,0.171976,0,100,0,0,1,7,2.33
Switzerland,#####,6.87225,0.330008,0.019,99.045,0.955,304,18,4,1.33
Switzerland,#####,10.419948,0.253316,0.042,95.151,4.849,184,699,5,1.67
Tajikistan,#####,-4.55994,3.492972,0,50,50,3,0,3,1
Tanzania,#####,8.663886,1.148056,0.002,99.394,0.606,1672939,51811,6,2
Tanzania,#####,3.237234,1.743,0,99.748,0.252,2000177,23180,7,2.33
Tanzania,#####,4.207434,0.8134,0.001,99.693,0.307,38578,3,11,3.67
Tanzania,#####,5.038572,1.106224,0.01,99.337,0.663,141411,8048,11,3.67
Tanzania,#####,3.043194,1.162,0,98.801,1.199,369961,1013,14,4.67
Tanzania,#####,5.35227,1.1039,0.014,96.95,3.05,27210,3,14,4.67
Tanzania,#####,-4.815426,3.495296,0,66.667,33.333,2,0,21,7
Thailand,#####,7.370286,1.08066,0,99.368,0.632,682063,25325,3,1
Thailand,#####,6.41949,2.182236,0,98.886,1.114,256737,16823,7,2.33
Thailand,#####,6.283662,2.447172,0,98.475,1.525,102529,7350,10,3.33
Thailand,#####,7.095396,4.4156,0,92.863,7.137,6,15771,10,3.33
Togo,#####,4.918914,1.320032,0,85.204,14.796,1006,2357,5,1.67
Togo,#####,22.773828,1.399048,0,75.568,24.432,471,62,6,2
Togo,#####,2.836218,1.296792,0,88.304,11.696,41,110,7,2.33
Tunisia,#####,0.14553,2.324,0.005,94.868,5.132,0,1830,3,1
Turkey,#####,6.147834,2.186884,0.028,97.061,2.939,647,476,4,1.33
Turkey,#####,5.232612,2.293788,0.043,97.009,2.991,22651,847,5,1.67
Uganda,#####,2.923536,1.166648,0,99.056,0.944,2782291,1713,9,3
Uganda,#####,1.920996,1.66166,0,99.123,0.877,2181894,999,11,3.67
Uganda,#####,11.066748,1.038828,0.019,98.242,1.758,67604,5367,11,3.67
Uganda,#####,5.817966,1.252636,0.019,97.973,2.027,206135,888,13,4.33
Uganda,#####,20.461518,0,0,95.212,4.788,7848,265,14,4.67
Uganda,#####,2.18295,1.492008,0.001,95.743,4.257,533952,31505,15,5
Uganda,#####,0.006468,0.004648,0,100,0,8,0,17,5.67
Uganda,#####,10.255014,0.741356,0,78.481,21.519,124,0,18,6
Ukraine,#####,2.875026,2.110192,0,97.28,2.72,883,8487,3,1
Ukraine,#####,-3.457146,2.630768,0,41.026,58.974,31,1,6,2
United Arab Emirates,#####,5.940858,12.658828,0.004,69.306,30.694,16,1393,5,1.67
United Arab Emirates,#####,-2.79741,3.495296,0,48.837,51.163,21,0,6,2
United Arab Emirates,#####,-4.893042,9.296,0,100,0,0,24,8,2.67
United Arab Emirates,#####,-12.96834,5.81,0,10.345,89.655,2,7,11,3.67
United Kingdom,#####,1.248324,0.585648,0.001,97.755,2.245,994441,107068,6,2
United Kingdom,#####,9.255708,0.478744,0.001,96.107,3.893,72864,2501,6,2
United Kingdom,#####,-4.524366,3.495296,0,100,0,20,0,9,3
United Kingdom,#####,2.697156,1.624476,0.1,81.818,18.182,7,2,10,3.33
United Kingdom,#####,-0.650034,0.471772,0,60,40,0,3,14,4.67
United States of America,#####,-0.950796,0.683256,0,96.97,3.03,0,32,7,2.33
United States of America,#####,5.242314,1.157352,0.033,83.782,16.218,0,1214,7,2.33
United States of America,#####,0.50127,12.582136,0.078,79.832,20.168,0,95,9,3
United States of America,#####,3.534762,1.18524,0.054,67.21,32.79,0,371,10,3.33
United States of America,#####,3.369828,4.794412,0.006,68.007,31.993,0,4077,12,4
Uruguay,#####,-2.677752,2.324,0,41.667,58.333,0,15,4,1.33
Uruguay,#####,-2.907366,2.096248,0,63.83,36.17,0,30,5,1.67
Uzbekistan,#####,-4.863936,3.495296,0,100,0,1,0,3,1
Vanuatu,#####,-6.377448,4.648,0,100,0,2,0,3,1
Viet Nam,#####,7.913598,0.295148,0,99.636,0.364,1812620,11743,6,2
Viet Nam,#####,5.70801,1.345596,0,99.632,0.368,2231611,133483,7,2.33
Viet Nam,#####,4.197732,0.281204,0,99.745,0.255,19066,135,8,2.67
Viet Nam,#####,-2.784474,1.993992,0,100,0,14,2,13,4.33
Viet Nam,#####,-1.138368,2.612176,0,93.194,6.806,4111,24,14,4.67
Viet Nam,#####,0.245784,0.704172,0,63.043,36.957,19,10,15,5
Viet Nam,#####,-3.744972,3.495296,0,60,40,3,0,21,7
Zambia,#####,6.6297,1.996316,0,98.599,1.401,10310,143,4,1.33
Zambia,#####,2.761836,1.038828,0,90.803,9.197,10829,31,7,2.33
Zambia,#####,4.537302,1.162,0.001,93.958,6.042,2479,9,7,2.33
Zambia,#####,-0.006468,0.60424,0,90,10,9,0,14,4.67
Zambia,#####,-5.969964,1.433908,0,50.299,49.701,81,3,15,5
Zambia,#####,-8.269338,1.162,0,82.759,17.241,69,3,16,5.33
Zimbabwe,#####,-1.03488,3.936856,0.001,98.699,1.301,77437,414,3,1
